Customer ID,Name,Gender,Age,Income (USD),Income Stability,Profession,Type of Employment,Location,Loan Amount Request (USD),Current Loan Expenses (USD),Expense Type 1,Expense Type 2,Dependents,Credit Score,No. of Defaults,Has Active Credit Card,Property ID,Property Age,Property Type,Property Location,Co-Applicant,Property Price,Loan Sanction Amount (USD)
C-48528,Polly Normand,M,21,1984.32,1.0,Working,Drivers,Semi-Urban,90857.67,479.49,Y,Y,2.0,775.57,0,Semi-Urban,161,1984.32,2,Semi-Urban,1,119869.89,0.0
C-22574,Yee Dorner,F,55,2223.085,1.0,Commercial associate,Sales staff,Semi-Urban,46240.13,226.65,N,Y,1.0,644.64,0,Semi-Urban,816,2223.81,3,Semi-Urban,1,63760.17,0.0
C-46043,Necole Schimke,M,18,3031.97,1.0,Working,Managers,Semi-Urban,33085.85,336.9,N,Y,2.0,833.33,0,Semi-Urban,250,3031.97,4,Semi-Urban,0,37567.92,0.0
C-27905,Keitha Bramblett,F,31,2223.085,1.0,Working,Core staff,Rural,99992.27,702.57,Y,Y,2.0,745.91,0,Rural,457,2223.81,2,Rural,1,145120.22,64994.98
C-29003,Donald Miskell,F,58,1633.88,1.0,Working,Laborers,Semi-Urban,48546.56,238.55,N,Y,2.0,774.67,0,Urban,314,1633.88,2,Urban,1,84149.5,33982.59
C-31069,Yolonda Litz,F,25,1224.99,1.0,Working,Core staff,Rural,84606.2,427.1,N,N,4.0,705.62,0,Rural,942,1224.99,1,Rural,1,136029.3,59224.34
C-25696,Pam Messmer,M,51,1993.49,1.0,Working,Private service staff,Rural,97298.45,275.74,Y,Y,2.0,801.23,0,Urban,94,1993.49,1,Urban,-999,157137.04,68108.91
C-26009,Pauletta Spidle,F,43,2223.085,1.0,Working,Core staff,Semi-Urban,43232.4,203.58,N,Y,2.0,725.78,0,Urban,113,2223.81,3,Urban,1,70538.77,28101.06
C-24891,Kizzy Burfield,F,28,1972.0,1.0,Working,Core staff,Rural,97666.72,356.08,Y,N,2.0,796.03,0,Rural,121,1972.0,3,Rural,1,116536.87,68366.7
C-237,Deeann Lightford,F,18,2223.085,1.0,Working,Accountants,Semi-Urban,27469.27,138.28,Y,Y,4.0,812.36,0,Rural,743,2223.81,2,Rural,1,50068.09,21975.42
C-46703,Joanna Wurtz,F,60,1318.47,1.0,Working,Sales staff,Semi-Urban,30191.08,114.06,N,Y,2.0,766.81,0,Semi-Urban,459,1318.47,1,Semi-Urban,1,36230.17,0.0
C-14884,Joseph Hamlett,F,43,1794.1,1.0,Working,Laborers,Rural,33807.36,240.32,Y,Y,4.0,723.8,0,Rural,758,2223.81,1,Rural,1,51738.76,21974.78
C-6740,Cecile Loos,M,54,2814.48,1.0,Working,Laborers,Urban,100346.63,427.31,N,Y,3.0,742.45,0,Semi-Urban,568,2814.48,1,Semi-Urban,1,132302.29,65225.31
C-32091,Benny Yann,M,24,1580.38,1.0,Working,Core staff,Semi-Urban,66041.19,325.89,N,N,4.0,717.92,0,Semi-Urban,305,1580.38,2,Semi-Urban,1,100265.3,46228.83
C-12565,Ming Kampf,F,55,2700.12,1.0,Working,Drivers,Semi-Urban,24890.1,141.45,Y,N,2.0,757.67,0,Rural,483,2700.12,1,Rural,1,32954.34,18667.57
C-56,Serafina Caudill,M,50,2223.085,1.0,Commercial associate,Accountants,Semi-Urban,61445.67,316.61,N,Y,2.253141046651371,710.12,0,Urban,384,2223.81,4,Urban,1,116623.96,43011.97
C-7387,Barbie Duty,M,50,2476.71,1.0,Working,Laborers,Semi-Urban,79928.84,336.88,Y,Y,2.0,678.0,0,Semi-Urban,986,2476.71,4,Semi-Urban,1,100315.66,51953.75
C-47131,Aletha Miyamoto,F,46,2239.14,1.0,Commercial associate,Laborers,Semi-Urban,46755.67,237.28,N,Y,2.0,676.78,0,Urban,609,2239.14,1,Urban,1,57625.06,0.0
C-16070,Neville Chadburn,M,48,2590.89,1.0,Working,Waiters/barmen staff,Semi-Urban,32607.06,293.0,N,N,2.253141046651371,801.62,0,Rural,477,2590.89,2,Rural,1,60126.46,26085.65
C-49557,Pam Hepler,F,64,1179.18,1.0,Commercial associate,High skill tech staff,Rural,30385.6,251.72,N,Y,3.0,756.24,0,Semi-Urban,600,1179.18,4,Semi-Urban,1,39087.37,0.0
C-17189,Ivory Wetzler,M,22,2178.86,1.0,Commercial associate,Sales staff,Semi-Urban,60176.63,282.93,N,N,1.0,813.17,0,Rural,7,2178.86,1,Rural,1,82905.84,45132.47
C-36232,Rosia Stutes,M,37,1332.42,1.0,Commercial associate,Laborers,Semi-Urban,60017.87,475.42,N,Y,1.0,728.29,0,Semi-Urban,137,1332.42,1,Semi-Urban,1,99319.12,42012.51
C-49077,Maryln Spagnolo,F,36,2966.6,1.0,Commercial associate,Laborers,Semi-Urban,152200.62,736.35,N,Y,3.0,766.19,0,Urban,992,2966.6,3,Urban,0,171476.96,0.0
C-38661,Reyna Pecora,F,63,3516.53,1.0,Working,Managers,Semi-Urban,111662.86,670.31,N,N,1.0,822.91,0,Semi-Urban,870,3516.53,4,Semi-Urban,1,149145.97,89330.29
C-10772,Mechelle Couture,M,22,1206.34,1.0,Working,Sales staff,Rural,19195.88,97.75,N,Y,2.0,669.13,0,Semi-Urban,870,1206.34,4,Semi-Urban,1,32233.86,12477.32
C-5161,Colby Volkmann,F,56,1891.2,1.0,Commercial associate,Laborers,Semi-Urban,114434.1,360.1,Y,Y,3.0,739.8891493203059,0,Semi-Urban,27,1891.2,4,Semi-Urban,1,217245.44,0.0
C-32528,Elza Padua,M,53,2000.87,1.0,Working,Drivers,Semi-Urban,124714.96,631.2,Y,Y,2.0,675.33,0,Urban,858,2000.87,4,Urban,1,170138.05,87300.47
C-40936,Marylouise Geraci,M,53,1729.9,1.0,State servant,Core staff,Rural,132530.58,439.49,N,N,1.0,630.55,0,Urban,675,1729.9,2,Urban,1,157052.24,0.0
C-28136,Roslyn Turcios,M,48,979.49,1.0,Working,Medicine staff,Semi-Urban,24728.19,137.78,Y,N,3.0,710.2,0,Semi-Urban,436,979.49,1,Semi-Urban,1,33750.19,16073.32
C-29986,Miguelina Rodas,F,18,2223.085,1.0,Working,Laborers,Semi-Urban,30911.17,152.44,Y,Y,3.0,739.8891493203059,0,Semi-Urban,662,2223.81,4,Semi-Urban,1,41720.56,21637.82
C-21730,Wiley Macrae,F,40,2223.085,1.0,Working,Security staff,Urban,76049.06,341.29,N,Y,2.0,760.05,0,Semi-Urban,604,2223.81,1,Semi-Urban,1,89983.16,60839.25
C-16531,Mendy Mcclean,M,18,1532.0,1.0,Working,Laborers,Semi-Urban,33819.92,170.24,Y,Y,4.0,682.04,0,Rural,184,1532.0,4,Rural,-999,49033.5,21982.95
C-46684,Luisa Uhlig,F,18,1844.18,1.0,Working,Laborers,Urban,155880.45,726.98,Y,Y,3.0,700.26,0,Rural,460,1844.18,4,Rural,0,229559.35,0.0
C-34189,Blossom Reilley,F,35,3537.39,1.0,Commercial associate,Core staff,Semi-Urban,27863.43,127.96,N,Y,2.0,687.21,0,Semi-Urban,521,3537.39,1,Semi-Urban,1,49483.82,19504.4
C-10076,Kristen Loos,M,44,2223.085,1.0,Commercial associate,Sales staff,Semi-Urban,38189.42,133.77,N,Y,2.0,658.54,0,Semi-Urban,356,2223.81,4,Semi-Urban,1,66887.0,24823.12
C-39973,Rolf Starns,M,42,2019.52,1.0,State servant,Core staff,Semi-Urban,31003.62,249.76,N,Y,4.0,632.51,0,Rural,839,2019.52,2,Rural,1,48389.84,0.0
C-14817,Deborah Polen,M,36,2223.085,1.0,Commercial associate,Laborers,Rural,58353.58,474.24,N,Y,1.0,670.61,0,Urban,817,2223.81,1,Urban,1,80524.3,28192.903255787496
C-11535,Kyung Rinaldo,F,18,3214.48,1.0,State servant,Managers,Semi-Urban,107040.92,589.89,N,N,2.253141046651371,681.92,0,Semi-Urban,945,3214.48,4,Semi-Urban,1,161283.95,69576.6
C-15461,Grady Kapoor,F,23,1712.51,1.0,Working,Laborers,Rural,44232.77,213.61,N,N,2.0,630.48,0,Semi-Urban,274,1712.51,1,Semi-Urban,1,76206.18,0.0
C-2362,Lesli Lares,M,59,2223.085,1.0,Working,Laborers,Semi-Urban,139265.98,388.1,Y,Y,3.0,704.75,0,Rural,476,2223.81,3,Rural,1,221176.16,90522.89
C-13615,Michelina Treadwell,M,64,1545.57,1.0,Working,Laborers,Semi-Urban,159560.45,498.49,N,N,1.0,707.22,0,Semi-Urban,593,1545.57,4,Semi-Urban,1,279036.8,103714.29
C-49696,Marilou Bramblett,M,57,1040.76,1.0,Commercial associate,Core staff,Rural,7312.83,81.78,N,Y,3.0,664.4,0,Rural,235,1040.76,3,Rural,1,8496.3,0.0
C-35945,Noe Melancon,M,42,2139.98,1.0,Working,Core staff,Semi-Urban,24656.28,124.14,N,Y,2.0,852.17,0,Rural,976,2139.98,4,Rural,1,31258.86,19725.02
C-16242,Caleb Glasgow,F,36,2223.085,1.0,Working,Sales staff,Semi-Urban,97031.52,308.86,Y,Y,2.0,781.72,0,Rural,69,2223.81,2,Rural,1,169263.91,72773.64
C-10040,Lavern Andreotti,M,64,3418.19,1.0,Commercial associate,Accountants,Rural,59458.51,358.26,N,N,1.0,809.85,0,Urban,189,3418.19,3,Urban,1,92549.63,41620.96
C-25881,Dominica Riles,F,41,2918.66,1.0,Working,Managers,Urban,67945.04,361.46,N,Y,2.253141046651371,739.8891493203059,0,Rural,434,2918.66,3,Rural,1,113957.08,47561.53
C-44421,Kera Constance,F,26,2461.58,1.0,Working,Sales staff,Semi-Urban,49549.37,354.87,N,Y,2.0,649.78,0,Rural,743,2461.58,2,Rural,1,69007.01,0.0
C-24442,Vannesa Stephens,M,18,2223.085,1.0,Commercial associate,Managers,Rural,74577.6,381.31,N,N,2.0,718.98,0,Rural,939,2223.81,1,Rural,1,106610.08,52204.32
C-47247,Jacklyn Kolbe,F,52,1598.0,1.0,Commercial associate,Drivers,Semi-Urban,63966.4,343.75,Y,N,4.0,701.88,0,Rural,456,1598.0,3,Rural,1,97947.0,0.0
C-40641,Yang Mellon,M,58,1660.34,1.0,Working,High skill tech staff,Semi-Urban,49598.48,265.6,N,Y,1.0,763.17,0,Rural,964,1660.34,3,Rural,1,59389.33,39678.78
C-1180,Setsuko Shoup,F,30,2223.085,1.0,Working,Laborers,Semi-Urban,53106.96,162.12,N,N,1.0,739.8891493203059,0,Urban,218,2223.81,2,Urban,1,64680.13,34519.52
C-9524,Millie Grasso,F,18,3496.45,1.0,Working,Waiters/barmen staff,Semi-Urban,136037.97,604.69,Y,N,2.0,831.56,0,Urban,785,3496.45,1,Urban,1,237410.99,95226.58
C-13302,Yee Vanduyn,F,64,967.86,1.0,Working,Sales staff,Semi-Urban,47048.96,240.63,N,N,2.0,671.05,0,Urban,249,967.86,2,Urban,1,52018.51,32934.27
C-899,Dwain Meints,M,33,1491.84,1.0,Working,Cleaning staff,Semi-Urban,98757.66,296.19,N,Y,3.0,761.02,0,Semi-Urban,244,1491.84,3,Semi-Urban,1,133896.96,69130.36
C-23472,Grady Dewar,M,52,2182.76,1.0,Working,Laborers,Semi-Urban,138081.27,552.45,N,Y,2.253141046651371,717.7,0,Rural,9,2182.76,4,Rural,1,210008.23,89752.83
C-47292,Lore Yokota,F,53,2867.54,1.0,Commercial associate,Laborers,Semi-Urban,88735.89,313.55,N,Y,1.0,807.11,0,Urban,741,2867.54,2,Urban,0,133217.88,0.0
C-2958,Sade Ramos,F,32,2356.9,1.0,Commercial associate,Laborers,Semi-Urban,141950.43,371.69,Y,Y,2.0,739.8891493203059,0,Rural,465,2356.9,4,Rural,1,257724.9,92267.78
C-18248,Rosia Farris,M,61,2223.085,1.0,Working,Drivers,Semi-Urban,42747.02,223.99,N,Y,1.0,765.5,0,Urban,901,2223.81,1,Urban,1,63815.66,34197.62
C-9134,Teri Propp,F,18,2276.44,1.0,Working,Accountants,Rural,59606.76,290.99,Y,Y,2.253141046651371,846.2,0,Rural,844,2276.44,4,Rural,1,66854.51,-999.0
C-49701,Annamaria Lundy,F,41,967.1,1.0,Commercial associate,Laborers,Semi-Urban,77009.45,403.1,N,N,2.0,764.3,0,Urban,970,967.1,1,Urban,1,87972.1,0.0
C-35368,Steve Maine,M,42,1239.81,1.0,Commercial associate,Laborers,Semi-Urban,28781.77,197.86,N,Y,2.0,745.39,0,Urban,929,1239.81,1,Urban,1,34640.81,18708.15
C-3795,Chantel Dagenhart,M,18,2223.085,1.0,Working,Laborers,Semi-Urban,23807.1,123.46,N,N,1.0,682.32,0,Semi-Urban,420,2223.81,1,Semi-Urban,1,43868.75,15474.62
C-31362,Kraig Stonecipher,M,35,3048.84,1.0,Working,Laborers,Urban,86281.74,635.82,N,N,3.0,779.09,0,Urban,275,3048.84,2,Urban,1,133711.7,60397.22
C-30456,Genoveva Lawry,F,36,1256.46,1.0,Commercial associate,Laborers,Semi-Urban,87663.0,501.31,N,Y,3.0,760.06,0,Urban,601,1256.46,3,Urban,1,149690.69,61364.1
C-41188,Shanae Constance,M,18,1804.62,1.0,Commercial associate,High skill tech staff,Semi-Urban,138931.88,488.59,N,N,1.0,782.31,0,Rural,904,1804.62,1,Rural,1,156867.8,111145.5
C-39665,Jacquetta Para,M,18,1146.99,1.0,Commercial associate,Sales staff,Semi-Urban,26279.47,132.24,N,Y,3.0,610.31,0,Semi-Urban,425,1146.99,2,Semi-Urban,0,44808.44,0.0
C-40116,Deborah Adkins,M,43,2532.51,1.0,Working,Laborers,Rural,6189.5,34.04,N,Y,4.0,728.51,0,Semi-Urban,429,2532.51,1,Semi-Urban,1,8406.79,4023.18
C-24459,Gricelda Dale,M,51,2021.96,1.0,Commercial associate,Sales staff,Urban,114273.33,375.55,N,N,4.0,720.3,0,Rural,791,2021.96,1,Rural,1,185723.98,79991.33
C-1060,Regenia Mcentire,M,37,3268.08,1.0,Working,Accountants,Semi-Urban,113861.07,480.68,Y,N,1.0,738.18,0,Semi-Urban,637,3268.08,4,Semi-Urban,1,171731.49,79702.75
C-9434,Gina Nell,M,43,2223.085,1.0,Working,Laborers,Semi-Urban,99316.11,367.34,Y,Y,1.0,707.82,0,Rural,92,2223.81,4,Rural,1,133883.38,64555.47
C-11600,Enola Klopp,M,51,2470.74,1.0,Working,Low-skill Laborers,Semi-Urban,105866.95,834.14,N,Y,3.0,651.64,0,Rural,954,2470.74,4,Rural,1,146419.13,74106.86
C-37056,Lavern Hough,M,21,2137.01,1.0,Working,Sales staff,Semi-Urban,201716.39,498.39,N,N,2.0,804.32,0,Semi-Urban,4,2137.01,3,Semi-Urban,1,233893.63,141201.47
C-46519,Kera Bye,M,40,2435.91,1.0,Working,Managers,Semi-Urban,60339.0,206.84,N,N,2.0,725.33,0,Urban,113,2435.91,3,Urban,0,72861.07,0.0
C-11662,Lorinda Caines,F,18,1893.91,1.0,Commercial associate,Core staff,Semi-Urban,113175.0,383.49,N,Y,2.0,825.06,0,Urban,348,1893.91,4,Urban,1,167022.14,84881.25
C-12564,Kendrick Larkin,M,55,2755.69,1.0,State servant,High skill tech staff,Semi-Urban,39048.36,332.61,N,N,1.0,650.09,0,Rural,939,2755.69,1,Rural,1,67755.7,25381.43
C-1823,Evelina Engstrom,F,50,2223.085,1.0,State servant,Laborers,Semi-Urban,124136.37,324.74,N,Y,3.0,665.98,0,Rural,22,2223.81,1,Rural,1,142154.35,86895.46
C-12991,Kyung Ardoin,M,50,2223.085,1.0,Working,Laborers,Semi-Urban,112900.61,542.32,N,Y,3.0,801.33,0,Urban,618,2223.81,2,Urban,1,189468.38,90320.49
C-3484,Nakita Neihoff,M,44,3466.88,1.0,Working,Laborers,Semi-Urban,161020.8,700.37,N,Y,2.253141046651371,788.67,0,Urban,363,3466.88,2,Urban,1,194231.61,128816.64
C-36326,Arielle Rieke,M,37,1631.16,1.0,Commercial associate,Laborers,Semi-Urban,53926.02,159.06,N,N,3.0,652.46,0,Rural,196,1631.16,2,Rural,1,93484.83,35051.91
C-15925,Chantel Abdalla,M,23,1970.12,1.0,Working,Laborers,Semi-Urban,45332.69,295.74,N,N,1.0,655.33,0,Rural,578,1970.12,4,Rural,1,68462.61,31732.88
C-1989,Nena Sharlow,M,18,1098.18,1.0,Working,Laborers,Semi-Urban,77512.02,346.47,N,Y,2.0,668.87,0,Semi-Urban,984,1098.18,3,Semi-Urban,1,129330.82,50382.81
C-46812,Lavern Tome,M,19,1385.55,1.0,Working,Laborers,Semi-Urban,39445.27,233.36,N,N,1.0,746.84,0,Rural,441,1385.55,4,Rural,0,65250.01,0.0
C-28632,Bulah Polen,F,34,2940.62,1.0,State servant,Core staff,Urban,37359.33,191.58,N,Y,2.253141046651371,842.73,0,Semi-Urban,36,2940.62,2,Semi-Urban,1,58296.16,29887.46
C-42891,Kera Twiford,F,56,1208.54,1.0,Working,Drivers,Semi-Urban,34278.64,199.7,N,Y,2.0,694.28,0,Urban,537,1208.54,2,Urban,0,57338.99,0.0
C-23237,Kyung Elem,F,43,1935.49,1.0,Working,Private service staff,Semi-Urban,109313.69,459.13,N,Y,2.0,650.39,0,Urban,31,1935.49,1,Urban,1,143224.2,76519.58
C-14804,Franklin Litz,F,18,1497.23,1.0,Commercial associate,Low-skill Laborers,Semi-Urban,30847.01,148.33,N,N,3.0,594.84,0,Urban,819,1497.23,1,Urban,0,56421.47,0.0
C-34722,Lenita Tijerina,F,64,2534.74,1.0,Commercial associate,Managers,Rural,130784.86,632.41,N,Y,2.0,791.81,0,Urban,113,2534.74,3,Urban,1,169766.07,98088.64
C-14777,Milagros Degraffenreid,F,18,3089.34,1.0,Working,Laborers,Urban,81979.03,395.75,Y,Y,2.253141046651371,652.28,0,Urban,185,3089.34,1,Urban,1,101688.7,53286.37
C-5579,Valentina Postma,F,25,2223.085,1.0,Working,Sales staff,Semi-Urban,67406.4,339.62,N,Y,3.0,713.59,0,Urban,917,2223.81,4,Urban,1,98777.13,43814.16
C-8332,Lorinda Vitolo,F,59,997.39,1.0,Working,Core staff,Semi-Urban,26045.14,137.21,N,Y,2.0,739.8891493203059,0,Urban,726,997.39,3,Urban,1,46802.31,19533.86
C-35893,Andrea Abbott,M,26,1272.64,1.0,Working,Sales staff,Semi-Urban,27915.27,132.96,N,Y,1.0,673.66,0,Rural,460,1272.64,4,Rural,1,39834.37,19540.69
C-19316,Guy Albin,M,54,2223.085,1.0,Working,Sales staff,Semi-Urban,24805.62,125.15,Y,Y,2.253141046651371,675.64,0,Rural,461,2223.81,4,Rural,1,44287.49,17363.93
C-36434,Araceli Keitt,M,44,2030.99,1.0,State servant,Laborers,Semi-Urban,26802.03,138.45,N,N,2.0,688.22,0,Rural,39,2030.99,1,Rural,1,36179.99,17421.32
C-49612,Lesli Grasso,F,44,993.21,1.0,Working,Core staff,Semi-Urban,26814.58,126.58,N,N,1.0,679.23,0,Urban,932,993.21,2,Urban,1,36037.73,0.0
C-7640,Jacquetta Harsh,F,28,3492.47,1.0,Working,Security staff,Semi-Urban,94213.04,360.24,N,Y,1.0,639.03,0,Urban,513,3492.47,4,Urban,1,172745.34,0.0
C-41014,Alyson Montoya,M,38,2289.23,1.0,Commercial associate,Laborers,Semi-Urban,87458.42,218.35,Y,N,1.0,615.21,0,Urban,970,2289.23,1,Urban,1,129017.76,0.0
C-3270,Kyla Costillo,M,60,3647.48,1.0,Working,Accountants,Semi-Urban,92025.17,271.1,N,Y,2.0,758.65,0,Rural,6,3647.48,2,Rural,1,119475.01,69018.88
C-4766,Melinda Deschamp,M,27,2223.085,1.0,Working,Sales staff,Semi-Urban,61649.37,500.62,N,Y,1.0,768.21,0,Rural,92,2223.81,4,Rural,1,91110.67,43154.56
C-14037,Latoyia Adkins,M,29,2915.93,1.0,State servant,Core staff,Urban,68159.89,451.18,N,N,2.0,739.8891493203059,0,Urban,313,2915.93,3,Urban,1,75697.92,47711.92
C-45848,Dulcie Borges,F,57,1535.99,1.0,Working,Laborers,Semi-Urban,37827.74,326.07,N,N,1.0,797.94,0,Rural,525,1535.99,1,Rural,0,60495.08,0.0
C-37453,Jennette Flagler,M,24,1689.23,1.0,Working,Sales staff,Semi-Urban,21300.04,165.04,N,Y,2.0,683.05,0,Rural,195,1689.23,1,Rural,1,28328.25,14910.03
C-44151,Earlie Hagar,M,30,1203.13,1.0,Commercial associate,Security staff,Rural,77519.11,389.48,N,N,3.0,680.74,0,Semi-Urban,707,1203.13,3,Semi-Urban,1,118091.86,0.0
C-19699,Cinda Donato,F,55,3735.11,1.0,Commercial associate,Managers,Semi-Urban,39214.61,423.91,Y,N,4.0,791.34,0,Semi-Urban,11,3735.11,3,Semi-Urban,1,66402.87,29410.96
C-6654,Marilou Girard,M,58,1364.79,1.0,Commercial associate,Drivers,Semi-Urban,19685.95,127.54,N,Y,3.0,701.57,0,Rural,92,1364.79,4,Rural,1,26031.2,13780.16
C-43228,Mason Pendelton,M,28,1354.06,1.0,Working,Laborers,Semi-Urban,7609.23,82.1,N,Y,4.0,637.12,0,Urban,721,1354.06,2,Urban,0,11941.07,0.0
C-29440,Walter Mcgranahan,F,18,2223.085,1.0,Commercial associate,Core staff,Semi-Urban,32645.54,163.1,Y,Y,2.0,608.06,0,Semi-Urban,288,2223.81,4,Semi-Urban,0,35917.71,0.0
C-12746,Wes Rames,M,18,1671.81,1.0,Working,Private service staff,Semi-Urban,17644.97,139.31,N,Y,2.253141046651371,721.97,0,Semi-Urban,911,1671.81,3,Semi-Urban,1,23615.91,11469.23
