Customer ID,Name,Gender,Age,Income (USD),Income Stability,Profession,Type of Employment,Location,Loan Amount Request (USD),Current Loan Expenses (USD),Expense Type 1,Expense Type 2,Dependents,Credit Score,No. of Defaults,Has Active Credit Card,Property ID,Property Age,Property Type,Property Location,Co-Applicant,Property Price,Loan Sanction Amount (USD),Loan_Approved
C-27905,Keitha Bramblett,F,31,2222.435,Low,Working,Core staff,Rural,99992.27,702.57,Y,Y,2.0,745.91,0,Active,457,2223.25,2,Rural,1,145120.22,64994.98,1
C-17543,Bridget Bruce,F,33,3175.91,Low,Commercial associate,Core staff,Urban,185900.53,699.92,N,Y,3.0,681.16,1,Unpossessed,783,3175.91,2,Semi-Urban,1,210100.47,130130.37,1
C-29003,Donald Miskell,F,58,1633.88,Low,Working,Laborers,Semi-Urban,48546.56,238.55,N,Y,2.0,774.67,0,Inactive,314,1633.88,2,Urban,1,84149.5,33982.59,1
C-31069,Yolonda Litz,F,25,1224.99,Low,Working,Core staff,Rural,84606.2,427.1,N,N,4.0,705.62,0,Unpossessed,942,1224.99,1,Rural,1,136029.3,59224.34,1
C-26009,Pauletta Spidle,F,43,2222.435,Low,Working,Core staff,Semi-Urban,43232.4,203.58,N,Y,2.0,725.78,0,Unpossessed,113,2223.25,3,Urban,1,70538.77,28101.06,1
C-27173,Alissa Kapoor,M,65,1047.12,High,Pensioner,Laborers,Semi-Urban,40742.95,169.31,N,Y,2.0,821.87,0,Unpossessed,918,1047.12,1,Urban,0,56784.27,30557.21,1
C-24891,Kizzy Burfield,F,28,1972.0,Low,Working,Core staff,Rural,97666.72,356.08,Y,N,2.0,796.03,0,Inactive,121,1972.0,3,Rural,1,116536.87,68366.7,1
C-237,Deeann Lightford,F,18,2222.435,Low,Working,Accountants,Semi-Urban,27469.27,138.28,Y,Y,4.0,812.36,0,Inactive,743,2223.25,2,Rural,1,50068.09,21975.42,1
C-46703,Joanna Wurtz,F,60,1318.47,Low,Working,Sales staff,Semi-Urban,30191.08,114.06,N,Y,2.0,766.81,0,Active,459,1318.47,1,Semi-Urban,1,36230.17,0.0,0
C-14884,Joseph Hamlett,F,43,1794.1,Low,Working,Laborers,Rural,33807.36,240.32,Y,Y,4.0,723.8,0,Active,758,2223.25,1,Rural,1,51738.76,21974.78,1
C-6740,Cecile Loos,M,54,2814.48,Low,Working,Laborers,Urban,100346.63,427.31,N,Y,3.0,742.45,0,Inactive,568,2814.48,1,Semi-Urban,1,132302.29,65225.31,1
C-32091,Benny Yann,M,24,1580.38,Low,Working,Core staff,Semi-Urban,66041.19,325.89,N,N,4.0,717.92,0,Active,305,1580.38,2,Semi-Urban,1,100265.3,46228.83,1
C-12565,Ming Kampf,F,55,2700.12,Low,Working,Drivers,Semi-Urban,24890.1,141.45,Y,N,2.0,757.67,0,Active,483,2700.12,1,Rural,1,32954.34,18667.57,1
C-56,Serafina Caudill,M,50,2222.435,Low,Commercial associate,Accountants,Semi-Urban,61445.67,316.61,N,Y,2.0,710.12,0,Active,384,2223.25,4,Urban,1,116623.96,43011.97,1
C-7387,Barbie Duty,M,50,2476.71,Low,Working,Laborers,Semi-Urban,79928.84,336.88,Y,Y,2.0,678.0,0,Unpossessed,986,2476.71,4,Semi-Urban,1,100315.66,51953.75,1
C-47131,Aletha Miyamoto,F,46,2239.14,Low,Commercial associate,Laborers,Semi-Urban,46755.67,237.28,N,Y,2.0,676.78,0,Unpossessed,609,2239.14,1,Urban,1,57625.06,0.0,0
C-18728,Stephane Pullum,F,18,2760.03,Low,Working,Security staff,Semi-Urban,64516.08,322.2,Y,N,1.0,682.6,1,Unpossessed,502,2760.03,3,Rural,1,117010.73,41935.45,1
C-35848,Loura Tabarez,F,62,1519.67,High,Pensioner,Laborers,Semi-Urban,45103.02,450.18,N,Y,1.0,854.18,0,Unpossessed,990,1519.67,2,Semi-Urban,1,75013.84,31572.11,1
C-16070,Neville Chadburn,M,48,2590.89,Low,Working,Waiters/barmen staff,Semi-Urban,32607.06,293.0,N,N,2.0,801.62,0,Inactive,477,2590.89,2,Rural,1,60126.46,26085.65,1
C-26034,Colby Hanline,F,56,1589.8,Low,Working,High skill tech staff,Rural,42465.29,294.29,N,N,2.0,729.66,1,Active,692,1589.8,3,Rural,1,68719.99,29725.7,1
C-49557,Pam Hepler,F,64,1179.18,Low,Commercial associate,High skill tech staff,Rural,30385.6,251.72,N,Y,3.0,756.24,0,Unpossessed,600,1179.18,4,Semi-Urban,1,39087.37,0.0,0
C-17189,Ivory Wetzler,M,22,2178.86,Low,Commercial associate,Sales staff,Semi-Urban,60176.63,282.93,N,N,1.0,813.17,0,Inactive,7,2178.86,1,Rural,1,82905.84,45132.47,1
C-36232,Rosia Stutes,M,37,1332.42,Low,Commercial associate,Laborers,Semi-Urban,60017.87,475.42,N,Y,1.0,728.29,0,Active,137,1332.42,1,Semi-Urban,1,99319.12,42012.51,1
C-49077,Maryln Spagnolo,F,36,2966.6,Low,Commercial associate,Laborers,Semi-Urban,152200.62,736.35,N,Y,3.0,766.19,0,Inactive,992,2966.6,3,Urban,0,171476.96,0.0,0
C-38661,Reyna Pecora,F,63,3516.53,Low,Working,Managers,Semi-Urban,111662.86,670.31,N,N,1.0,822.91,0,Unpossessed,870,3516.53,4,Semi-Urban,1,149145.97,89330.29,1
C-43745,Sheron Como,F,65,3477.95,High,Pensioner,Laborers,Rural,44490.31,243.35,N,N,1.0,747.66,0,Inactive,210,3477.95,4,Rural,1,60639.31,0.0,0
C-10772,Mechelle Couture,M,22,1206.34,Low,Working,Sales staff,Rural,19195.88,97.75,N,Y,2.0,669.13,0,Inactive,870,1206.34,4,Semi-Urban,1,32233.86,12477.32,1
C-5161,Colby Volkmann,F,56,1891.2,Low,Commercial associate,Laborers,Semi-Urban,114434.1,360.1,Y,Y,3.0,739.82,0,Unpossessed,27,1891.2,4,Semi-Urban,1,217245.44,0.0,0
C-32528,Elza Padua,M,53,2000.87,Low,Working,Drivers,Semi-Urban,124714.96,631.2,Y,Y,2.0,675.33,0,Inactive,858,2000.87,4,Urban,1,170138.05,87300.47,1
C-40936,Marylouise Geraci,M,53,1729.9,Low,State servant,Core staff,Rural,132530.58,439.49,N,N,1.0,630.55,0,Active,675,1729.9,2,Urban,1,157052.24,0.0,0
C-28136,Roslyn Turcios,M,48,979.49,Low,Working,Medicine staff,Semi-Urban,24728.19,137.78,Y,N,3.0,710.2,0,Inactive,436,979.49,1,Semi-Urban,1,33750.19,16073.32,1
C-29986,Miguelina Rodas,F,18,2222.435,Low,Working,Laborers,Semi-Urban,30911.17,152.44,Y,Y,3.0,739.82,0,Active,662,2223.25,4,Semi-Urban,1,41720.56,21637.82,1
C-21730,Wiley Macrae,F,40,2222.435,Low,Working,Security staff,Urban,76049.06,341.29,N,Y,2.0,760.05,0,Inactive,604,2223.25,1,Semi-Urban,1,89983.16,60839.25,1
C-46684,Luisa Uhlig,F,18,1844.18,Low,Working,Laborers,Urban,155880.45,726.98,Y,Y,3.0,700.26,0,Unpossessed,460,1844.18,4,Rural,0,229559.35,0.0,0
C-28878,Brinda Eutsler,F,56,1894.11,Low,Working,Private service staff,Semi-Urban,36501.56,219.55,N,Y,2.0,854.27,1,Inactive,1,1894.11,1,Urban,1,53826.78,25551.09,1
C-34189,Blossom Reilley,F,35,3537.39,Low,Commercial associate,Core staff,Semi-Urban,27863.43,127.96,N,Y,2.0,687.21,0,Active,521,3537.39,1,Semi-Urban,1,49483.82,19504.4,1
C-4244,Marietta Scroggins,F,65,1356.3,High,Pensioner,Laborers,Rural,90572.18,327.39,N,Y,2.0,781.35,0,Active,838,1356.3,4,Urban,1,139890.25,72457.74,1
C-37542,Joyce Streicher,F,58,1565.69,Low,Working,Laborers,Rural,20284.94,179.39,N,N,1.0,660.75,1,Unpossessed,955,1565.69,4,Semi-Urban,1,37516.71,13185.21,1
C-10076,Kristen Loos,M,44,2222.435,Low,Commercial associate,Sales staff,Semi-Urban,38189.42,133.77,N,Y,2.0,658.54,0,Active,356,2223.25,4,Semi-Urban,1,66887.0,24823.12,1
C-12233,Margareta Watchman,M,63,1028.41,High,Pensioner,Laborers,Semi-Urban,6840.47,66.86,N,Y,1.0,770.26,0,Inactive,414,1028.41,4,Urban,0,9440.89,5130.35,1
C-39973,Rolf Starns,M,42,2019.52,Low,State servant,Core staff,Semi-Urban,31003.62,249.76,N,Y,4.0,632.51,0,Unpossessed,839,2019.52,2,Rural,1,48389.84,0.0,0
C-14817,Deborah Polen,M,36,2222.435,Low,Commercial associate,Laborers,Rural,58353.58,474.24,N,Y,1.0,670.61,0,Unpossessed,817,2223.25,1,Urban,1,80524.3,35209.395000000004,1
C-11535,Kyung Rinaldo,F,18,3214.48,Low,State servant,Managers,Semi-Urban,107040.92,589.89,N,N,2.0,681.92,0,Inactive,945,3214.48,4,Semi-Urban,1,161283.95,69576.6,1
C-15461,Grady Kapoor,F,23,1712.51,Low,Working,Laborers,Rural,44232.77,213.61,N,N,2.0,630.48,0,Unpossessed,274,1712.51,1,Semi-Urban,1,76206.18,0.0,0
C-2362,Lesli Lares,M,59,2222.435,Low,Working,Laborers,Semi-Urban,139265.98,388.1,Y,Y,3.0,704.75,0,Unpossessed,476,2223.25,3,Rural,1,221176.16,90522.89,1
C-24508,Minerva Saltzman,F,62,2573.03,Low,Commercial associate,Laborers,Rural,136992.15,395.22,Y,Y,3.0,701.49,1,Unpossessed,634,2573.03,2,Rural,1,251217.1,35209.395000000004,1
C-13615,Michelina Treadwell,M,64,1545.57,Low,Working,Laborers,Semi-Urban,159560.45,498.49,N,N,1.0,707.22,0,Unpossessed,593,1545.57,4,Semi-Urban,1,279036.8,103714.29,1
C-49696,Marilou Bramblett,M,57,1040.76,Low,Commercial associate,Core staff,Rural,7312.83,81.78,N,Y,3.0,664.4,0,Inactive,235,1040.76,3,Rural,1,8496.3,0.0,0
C-35945,Noe Melancon,M,42,2139.98,Low,Working,Core staff,Semi-Urban,24656.28,124.14,N,Y,2.0,852.17,0,Unpossessed,976,2139.98,4,Rural,1,31258.86,19725.02,1
C-16242,Caleb Glasgow,F,36,2222.435,Low,Working,Sales staff,Semi-Urban,97031.52,308.86,Y,Y,2.0,781.72,0,Active,69,2223.25,2,Rural,1,169263.91,72773.64,1
C-37667,Lesli Cottone,F,38,1274.01,Low,Working,Laborers,Semi-Urban,51251.75,241.86,N,Y,1.0,632.1,1,Inactive,934,1274.01,2,Semi-Urban,1,70784.92,0.0,0
C-18939,Rosia Jacobo,M,38,1919.85,Low,Working,Laborers,Semi-Urban,31362.64,260.79,Y,Y,4.0,756.17,1,Unpossessed,483,1919.85,1,Rural,1,52756.02,21953.85,1
C-18719,Luvenia Lintner,F,47,1273.04,Low,Working,Sales staff,Rural,38205.43,205.4,Y,Y,3.0,798.66,1,Active,272,1273.04,2,Urban,1,64949.87,28654.07,1
C-10040,Lavern Andreotti,M,64,3418.19,Low,Commercial associate,Accountants,Rural,59458.51,358.26,N,N,1.0,809.85,0,Inactive,189,3418.19,3,Urban,1,92549.63,41620.96,1
C-25881,Dominica Riles,F,41,2918.66,Low,Working,Managers,Urban,67945.04,361.46,N,Y,2.0,739.82,0,Active,434,2918.66,3,Rural,1,113957.08,47561.53,1
C-44421,Kera Constance,F,26,2461.58,Low,Working,Sales staff,Semi-Urban,49549.37,354.87,N,Y,2.0,649.78,0,Inactive,743,2461.58,2,Rural,1,69007.01,0.0,0
C-24442,Vannesa Stephens,M,18,2222.435,Low,Commercial associate,Managers,Rural,74577.6,381.31,N,N,2.0,718.98,0,Unpossessed,939,2223.25,1,Rural,1,106610.08,52204.32,1
C-47247,Jacklyn Kolbe,F,52,1598.0,Low,Commercial associate,Drivers,Semi-Urban,63966.4,343.75,Y,N,4.0,701.88,0,Unpossessed,456,1598.0,3,Rural,1,97947.0,0.0,0
C-40641,Yang Mellon,M,58,1660.34,Low,Working,High skill tech staff,Semi-Urban,49598.48,265.6,N,Y,1.0,763.17,0,Active,964,1660.34,3,Rural,1,59389.33,39678.78,1
C-1180,Setsuko Shoup,F,30,2222.435,Low,Working,Laborers,Semi-Urban,53106.96,162.12,N,N,1.0,739.82,0,Active,218,2223.25,2,Urban,1,64680.13,34519.52,1
C-7765,Danny Siers,F,37,2222.435,Low,Commercial associate,Accountants,Urban,79909.09,397.51,Y,Y,2.0,773.58,1,Active,233,2223.25,2,Urban,1,123005.34,59931.82,1
C-35500,Mechelle Koffler,F,28,3131.48,Low,Working,Laborers,Rural,102536.42,557.03,N,Y,1.0,669.4,1,Unpossessed,768,3131.48,2,Semi-Urban,1,150194.71,71775.49,1
C-9524,Millie Grasso,F,18,3496.45,Low,Working,Waiters/barmen staff,Semi-Urban,136037.97,604.69,Y,N,2.0,831.56,0,Unpossessed,785,3496.45,1,Urban,1,237410.99,95226.58,1
C-14072,Miguelina Mcpeak,M,65,2222.435,High,Pensioner,Laborers,Semi-Urban,79442.15,381.79,Y,Y,2.0,684.07,0,Inactive,366,2223.25,3,Semi-Urban,1,138667.33,55609.5,1
C-13302,Yee Vanduyn,F,64,967.86,Low,Working,Sales staff,Semi-Urban,47048.96,240.63,N,N,2.0,671.05,0,Inactive,249,967.86,2,Urban,1,52018.51,32934.27,1
C-899,Dwain Meints,M,33,1491.84,Low,Working,Cleaning staff,Semi-Urban,98757.66,296.19,N,Y,3.0,761.02,0,Inactive,244,1491.84,3,Semi-Urban,1,133896.96,69130.36,1
C-23472,Grady Dewar,M,52,2182.76,Low,Working,Laborers,Semi-Urban,138081.27,552.45,N,Y,2.0,717.7,0,Inactive,9,2182.76,4,Rural,1,210008.23,89752.83,1
C-47292,Lore Yokota,F,53,2867.54,Low,Commercial associate,Laborers,Semi-Urban,88735.89,313.55,N,Y,1.0,807.11,0,Unpossessed,741,2867.54,2,Urban,0,133217.88,0.0,0
C-2958,Sade Ramos,F,32,2356.9,Low,Commercial associate,Laborers,Semi-Urban,141950.43,371.69,Y,Y,2.0,739.82,0,Inactive,465,2356.9,4,Rural,1,257724.9,92267.78,1
C-18248,Rosia Farris,M,61,2222.435,Low,Working,Drivers,Semi-Urban,42747.02,223.99,N,Y,1.0,765.5,0,Active,901,2223.25,1,Urban,1,63815.66,34197.62,1
C-45353,Franklin Krieger,M,62,2990.52,Low,State servant,Managers,Rural,27568.48,211.08,N,N,2.0,657.53,1,Inactive,195,2990.52,1,Rural,0,48938.58,0.0,0
C-21498,Fanny Slaugh,M,21,2836.78,Low,Working,Laborers,Rural,123359.81,608.46,N,Y,3.0,683.77,1,Active,191,2836.78,2,Semi-Urban,1,188339.8,80183.88,1
C-49701,Annamaria Lundy,F,41,967.1,Low,Commercial associate,Laborers,Semi-Urban,77009.45,403.1,N,N,2.0,764.3,0,Unpossessed,970,967.1,1,Urban,1,87972.1,0.0,0
C-35368,Steve Maine,M,42,1239.81,Low,Commercial associate,Laborers,Semi-Urban,28781.77,197.86,N,Y,2.0,745.39,0,Inactive,929,1239.81,1,Urban,1,34640.81,18708.15,1
C-3795,Chantel Dagenhart,M,18,2222.435,Low,Working,Laborers,Semi-Urban,23807.1,123.46,N,N,1.0,682.32,0,Inactive,420,2223.25,1,Semi-Urban,1,43868.75,15474.62,1
C-31362,Kraig Stonecipher,M,35,3048.84,Low,Working,Laborers,Urban,86281.74,635.82,N,N,3.0,779.09,0,Active,275,3048.84,2,Urban,1,133711.7,60397.22,1
C-30456,Genoveva Lawry,F,36,1256.46,Low,Commercial associate,Laborers,Semi-Urban,87663.0,501.31,N,Y,3.0,760.06,0,Inactive,601,1256.46,3,Urban,1,149690.69,61364.1,1
C-41188,Shanae Constance,M,18,1804.62,Low,Commercial associate,High skill tech staff,Semi-Urban,138931.88,488.59,N,N,1.0,782.31,0,Active,904,1804.62,1,Rural,1,156867.8,111145.5,1
C-9578,Cuc Hermes,M,64,3637.7,Low,Commercial associate,Managers,Rural,23811.63,162.44,N,N,2.0,811.11,0,Unpossessed,322,3637.7,3,Semi-Urban,1,40867.64,19049.3,1
C-39665,Jacquetta Para,M,18,1146.99,Low,Commercial associate,Sales staff,Semi-Urban,26279.47,132.24,N,Y,3.0,610.31,0,Active,425,1146.99,2,Semi-Urban,0,44808.44,0.0,0
C-34157,Wan Calender,M,31,3181.79,Low,Working,Laborers,Semi-Urban,56230.74,378.54,N,Y,1.0,603.11,1,Unpossessed,769,3181.79,2,Urban,1,64656.86,0.0,0
C-40116,Deborah Adkins,M,43,2532.51,Low,Working,Laborers,Rural,6189.5,34.04,N,Y,4.0,728.51,0,Inactive,429,2532.51,1,Semi-Urban,1,8406.79,4023.18,1
C-24459,Gricelda Dale,M,51,2021.96,Low,Commercial associate,Sales staff,Urban,114273.33,375.55,N,N,4.0,720.3,0,Active,791,2021.96,1,Rural,1,185723.98,79991.33,1
C-41544,Zaida Abdalla,F,48,3404.88,Low,State servant,Core staff,Urban,35677.5,358.57,Y,Y,2.0,851.44,1,Unpossessed,825,3404.88,2,Semi-Urban,1,49569.03,35677.5,1
C-1060,Regenia Mcentire,M,37,3268.08,Low,Working,Accountants,Semi-Urban,113861.07,480.68,Y,N,1.0,738.18,0,Unpossessed,637,3268.08,4,Semi-Urban,1,171731.49,79702.75,1
C-2144,Solomon Tadlock,M,43,1637.51,Low,Working,High skill tech staff,Semi-Urban,75095.84,417.84,N,Y,3.0,815.75,1,Unpossessed,614,1637.51,4,Semi-Urban,1,114087.85,60076.67,1
C-9434,Gina Nell,M,43,2222.435,Low,Working,Laborers,Semi-Urban,99316.11,367.34,Y,Y,1.0,707.82,0,Inactive,92,2223.25,4,Rural,1,133883.38,64555.47,1
C-6308,Guadalupe Meaders,M,44,2222.435,Low,Commercial associate,Laborers,Semi-Urban,114392.28,376.31,N,Y,2.0,708.88,1,Unpossessed,461,2223.25,4,Rural,1,211999.08,74354.98,1
C-46519,Kera Bye,M,40,2435.91,Low,Working,Managers,Semi-Urban,60339.0,206.84,N,N,2.0,725.33,0,Inactive,113,2435.91,3,Urban,0,72861.07,0.0,0
C-11662,Lorinda Caines,F,18,1893.91,Low,Commercial associate,Core staff,Semi-Urban,113175.0,383.49,N,Y,2.0,825.06,0,Active,348,1893.91,4,Urban,1,167022.14,84881.25,1
C-12564,Kendrick Larkin,M,55,2755.69,Low,State servant,High skill tech staff,Semi-Urban,39048.36,332.61,N,N,1.0,650.09,0,Unpossessed,939,2755.69,1,Rural,1,67755.7,25381.43,1
C-22251,Rod Funk,M,29,2562.95,Low,Working,Managers,Semi-Urban,27599.48,144.97,Y,Y,5.0,634.94,0,Active,849,2562.95,2,Semi-Urban,1,31176.34,0.0,0
C-1823,Evelina Engstrom,F,50,2222.435,Low,State servant,Laborers,Semi-Urban,124136.37,324.74,N,Y,3.0,665.98,0,Active,22,2223.25,1,Rural,1,142154.35,86895.46,1
C-12991,Kyung Ardoin,M,50,2222.435,Low,Working,Laborers,Semi-Urban,112900.61,542.32,N,Y,3.0,801.33,0,Active,618,2223.25,2,Urban,1,189468.38,90320.49,1
